"preds","include.prec","fit.type","which.data","radius","weight.style","equal.weights","response.name","weight.col","step.size","tc","cb","la","bag.fraction","mllr","parID","boot.i","test.site","nboots","metaID","ntrees","cv.init","cv","cv.red","cv.sd","cv.max","cv.min","ntest","ntest.pres"
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,3,"none",10,87,406,0.25284924056815,0.183141387640656,0.275689390131689,0.27849277179876,1.22886722451578,0.00742916777816225,NA,NA
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Badala",10,88,425,0.260148625809843,0.193571830203076,0.255918305928057,0.287242130734668,1.27190675319947,0.00882162769129231,306,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Bafodia",10,89,319,0.206096657963393,0.148729386578151,0.278351293767375,0.197578017787078,0.790552124539684,0.0101380041182372,857,157
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Barlie",10,90,318,0.256376471006523,0.190155561867687,0.258295579461157,0.280537632303507,1.22225072320588,0.0110892830418749,210,2
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Benduma",10,91,370,0.254174668577938,0.186330298408819,0.266920266085902,0.287106569903754,1.22727120034047,0.00827575581415226,324,8
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Gbainkfay",10,92,319,0.25703298959254,0.196551937047994,0.235304630119359,0.29182662691197,1.32658946171033,0.0112042127569157,72,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Gbenikoro",10,93,314,0.255966102791234,0.192031415426752,0.249777945858039,0.279777031157724,1.23886895725005,0.0120179578346941,18,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Guala",10,94,496,0.258401622621919,0.189855836605738,0.265268403970024,0.295624231004835,1.32902899364216,0.00600328644259497,277,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Kapethe",10,95,379,0.25774247300952,0.192510540156529,0.25308957461032,0.289000715054686,1.27065097373273,0.00919851319394851,264,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Largo",10,96,366,0.254288223208128,0.184172488852766,0.275733313445563,0.283575694432093,1.23464369343681,0.00900681796264317,483,13
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Makump",10,97,315,0.255443309779402,0.192903171939206,0.244829813292841,0.278397511735799,1.22121178423938,0.0115933473807102,27,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Makuna",10,98,280,0.256747802827555,0.19436181828948,0.242985466091708,0.277532310703998,1.24676168773775,0.0144705975841634,114,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Mokorie",10,99,347,0.256704978547434,0.19168740672952,0.253277408898793,0.277503000540039,1.19340499233666,0.0090869034069499,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Naiawama",10,100,378,0.239801894689015,0.164841343686665,0.312593656107523,0.268398478051586,1.29134752466964,0.00764262629791793,60,5
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Njaguima",10,101,369,0.256540296594186,0.18921526396867,0.262434531803851,0.278450293751498,1.2247824702034,0.00901343584385273,84,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Petema",10,102,393,0.257142955742987,0.190554348669053,0.258955594881194,0.283152662066257,1.2770490916555,0.00774046859059048,148,0
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Talama",10,103,358,0.246188048364965,0.174414232758554,0.291540617357708,0.276796747028002,1.25327070218127,0.00897718198915898,120,6
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Yekeyor",10,104,424,0.255668681909818,0.191527982854462,0.250874290023448,0.28759352833989,1.27803851255494,0.00684788246708963,156,1
"m",TRUE,"captures","a",0,"v",FALSE,"Mna","Trap.weight",100,2,0.5,0,0.5,2,1,4,"Bamba",10,105,418,0.257196543721077,0.191948738758049,0.253688498371842,0.286665464721005,1.2713545198966,0.0074285116902362,172,0
